,newspaper,year,week,word,stat,metric,value,year_week,hot_topics
22954,elcomercio_peru,2022,49,kirchner,mean,quote_count,0.5454545454545454,2022w49,
22955,elcomercio_peru,2022,49,kirchner,min,quote_count,0.0,2022w49,
22956,elcomercio_peru,2022,49,kirchner,ratio,quote_count,0.5454545454545454,2022w49,
22957,elcomercio_peru,2022,49,kirchner,std,quote_count,1.0357254813546264,2022w49,
22958,elcomercio_peru,2022,49,kirchner,sum,quote_count,6.0,2022w49,
22959,elcomercio_peru,2022,49,lima,count,quote_count,20.0,2022w49,
22960,elcomercio_peru,2022,49,lima,max,quote_count,6.0,2022w49,
22961,elcomercio_peru,2022,49,lima,mean,quote_count,0.45,2022w49,
22962,elcomercio_peru,2022,49,lima,min,quote_count,0.0,2022w49,
22963,elcomercio_peru,2022,49,lima,ratio,quote_count,0.45,2022w49,
22964,elcomercio_peru,2022,49,lima,std,quote_count,1.3562719801759993,2022w49,
22965,elcomercio_peru,2022,49,lima,sum,quote_count,9.0,2022w49,
22966,elcomercio_peru,2022,49,pedro,count,quote_count,41.0,2022w49,castillo
22967,elcomercio_peru,2022,49,pedro,max,quote_count,101.0,2022w49,castillo
22968,elcomercio_peru,2022,49,pedro,mean,quote_count,6.951219512195122,2022w49,castillo
22969,elcomercio_peru,2022,49,pedro,min,quote_count,0.0,2022w49,castillo
22970,elcomercio_peru,2022,49,pedro,ratio,quote_count,6.951219512195122,2022w49,castillo
22971,elcomercio_peru,2022,49,pedro,std,quote_count,18.517493377226025,2022w49,castillo
22972,elcomercio_peru,2022,49,pedro,sum,quote_count,285.0,2022w49,castillo
22973,elcomercio_peru,2022,49,perú,count,quote_count,44.0,2022w49,país
22974,elcomercio_peru,2022,49,perú,max,quote_count,56.0,2022w49,país
22975,elcomercio_peru,2022,49,perú,mean,quote_count,2.022727272727273,2022w49,país
22976,elcomercio_peru,2022,49,perú,min,quote_count,0.0,2022w49,país
22977,elcomercio_peru,2022,49,perú,ratio,quote_count,2.022727272727273,2022w49,país
22978,elcomercio_peru,2022,49,perú,std,quote_count,8.508514576351327,2022w49,país
22979,elcomercio_peru,2022,49,perú,sum,quote_count,89.0,2022w49,país
22980,elcomercio_peru,2022,49,pide,count,quote_count,9.0,2022w49,
22981,elcomercio_peru,2022,49,pide,max,quote_count,11.0,2022w49,
22982,elcomercio_peru,2022,49,pide,mean,quote_count,1.6666666666666667,2022w49,
22983,elcomercio_peru,2022,49,pide,min,quote_count,0.0,2022w49,
22984,elcomercio_peru,2022,49,pide,ratio,quote_count,1.6666666666666667,2022w49,
22985,elcomercio_peru,2022,49,pide,std,quote_count,3.570714214271425,2022w49,
22986,elcomercio_peru,2022,49,pide,sum,quote_count,15.0,2022w49,
22987,elcomercio_peru,2022,49,politicaecpe,count,quote_count,12.0,2022w49,
22988,elcomercio_peru,2022,49,politicaecpe,max,quote_count,0.0,2022w49,
22989,elcomercio_peru,2022,49,politicaecpe,mean,quote_count,0.0,2022w49,
22990,elcomercio_peru,2022,49,politicaecpe,min,quote_count,0.0,2022w49,
22991,elcomercio_peru,2022,49,politicaecpe,ratio,quote_count,0.0,2022w49,
22992,elcomercio_peru,2022,49,politicaecpe,std,quote_count,0.0,2022w49,
